#row 	col 	t0 	t 	deltaT 	thl 	par0 	par1 	par2 	par3
224	208	610.34	660.965	50.625	14	281.218	3.33009	1.03048	610.271
224	224	610.965	660.949	49.9844	16	563.877	1.89975	1.22627	610.774
224	240	611.426	657.84	46.4141	16	292.402	6.74269	1.05961	610.766
240	0	611.473	653.145	41.6719	14	31.4923	15.549	0.428284	608.666
240	16	611.496	653.168	41.6719	18	110.043	11.9817	0.770058	610.193
240	32	611.496	657.785	46.2891	18	30.0907	19.7649	0.353974	607.467
240	48	611.402	651.402	40	14	37.4283	15.1928	0.510691	609.351
240	64	610.309	657.754	47.4453	14	30.5991	15.6998	0.404018	607.906
240	80	609.848	654.652	44.8047	16	47.6252	14.9753	0.547425	608.138
240	96	609.934	656.27	46.3359	18	30.1887	19.7684	0.344879	606.208
240	112	608.457	659.371	50.9141	16	42.1613	13.3886	0.427785	605.541
240	128	609.926	657.84	47.9141	16	107.815	7.84375	0.774303	609.162
240	144	611.488	654.637	43.1484	16	1205.75	7.14791	1.3992	611.178
240	160	608.699	654.629	45.9297	12	125.911	10.7743	0.853369	608.689
240	176	608.379	654.676	46.2969	14	32.5243	15.8315	0.269801	602.06
240	192	608.418	657.809	49.3906	12	142.031	10.4712	0.845078	608.263
240	208	609.684	646.887	37.2031	16	41.5305	16.883	0.461847	607.046
240	224	610.559	649.66	39.1016	16	37.0496	17.1811	0.472094	608.582
240	240	609.988	654.637	44.6484	16	150.681	14.967	0.989755	610.212
